rowIndex,ClaimAmount
0,42.28214674587273
1,145.70542416570717
2,145.70542416570717
3,145.70542416570717
4,42.28214674587273
5,140.50445246814928
6,42.28214674587273
7,42.28214674587273
8,145.70542416570717
9,145.70542416570717
10,145.70542416570717
11,42.28214674587273
12,145.70542416570717
13,145.70542416570717
14,145.70542416570717
15,145.70542416570717
16,145.70542416570717
17,145.70542416570717
18,42.28214674587273
19,42.28214674587273
20,145.70542416570717
21,145.70542416570717
22,42.28214674587273
23,42.28214674587273
24,145.70542416570717
25,145.70542416570717
26,145.70542416570717
27,47.11130499174733
28,42.28214674587273
29,42.28214674587273
30,42.28214674587273
31,42.28214674587273
32,145.70542416570717
33,145.70542416570717
34,71.432406386856
35,42.28214674587273
36,145.70542416570717
37,42.28214674587273
38,145.70542416570717
39,145.70542416570717
40,145.70542416570717
41,42.28214674587273
42,88.34888328943308
43,145.70542416570717
44,47.11130499174733
45,145.70542416570717
46,145.70542416570717
47,145.70542416570717
48,140.50445246814928
49,145.70542416570717
50,42.28214674587273
51,42.28214674587273
52,140.50445246814928
53,47.11130499174733
54,145.70542416570717
55,145.70542416570717
56,42.28214674587273
57,145.70542416570717
58,145.70542416570717
59,140.50445246814928
60,42.28214674587273
61,145.70542416570717
62,145.70542416570717
63,47.11130499174733
64,145.70542416570717
65,42.28214674587273
66,42.28214674587273
67,145.70542416570717
68,145.70542416570717
69,145.70542416570717
70,145.70542416570717
71,145.70542416570717
72,145.70542416570717
73,145.70542416570717
74,42.28214674587273
75,145.70542416570717
76,42.28214674587273
77,42.28214674587273
78,145.70542416570717
79,42.28214674587273
80,145.70542416570717
81,145.70542416570717
82,42.28214674587273
83,145.70542416570717
84,145.70542416570717
85,42.28214674587273
86,42.28214674587273
87,145.70542416570717
88,88.34888328943308
89,145.70542416570717
90,42.28214674587273
91,145.70542416570717
92,42.28214674587273
93,145.70542416570717
94,42.28214674587273
95,47.11130499174733
96,145.70542416570717
97,145.70542416570717
98,42.28214674587273
99,145.70542416570717
100,42.28214674587273
101,42.28214674587273
102,145.70542416570717
103,145.70542416570717
104,140.50445246814928
